class,tier,effective_pool,trusted_quality_pass,tsn_fail_reason,review_priority,review_notes
bat-eared fox,2,228,228,low_speciesnet_confidence,P3 LOW,"classifier uncertain but not contradicting — verify each image, expect most to be correct"
raccoon dog,2,232,232,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
old world porcupine family,2,238,238,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
nine-banded armadillo,2,240,240,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
european bison,2,265,265,family_mismatch_high_confidence,P1 HIGH,classifier confident it sees a different family — check every image for label errors
leopardus species,2,271,271,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
roan antelope,2,278,278,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
kob,2,289,289,family_mismatch_high_confidence,P1 HIGH,classifier confident it sees a different family — check every image for label errors
lowland tapir,2,294,294,match_level_class,P3 LOW,"classifier uncertain but not contradicting — verify each image, expect most to be correct"
tayra,2,317,317,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
baird's tapir,2,323,323,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
chimpanzee,2,335,335,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
red kangaroo,2,380,344,match_level_class,P3 LOW,"classifier uncertain but not contradicting — verify each image, expect most to be correct"
giant anteater,2,355,355,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
quokka,2,366,366,match_level_class,P3 LOW,"classifier uncertain but not contradicting — verify each image, expect most to be correct"
glaucomys species,2,372,372,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
american badger,2,389,389,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
bushbuck,2,391,391,match_level_order,P3 LOW,"classifier uncertain but not contradicting — verify each image, expect most to be correct"
meerkat,2,412,412,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
dromedary camel,2,420,420,match_level_order,P3 LOW,"classifier uncertain but not contradicting — verify each image, expect most to be correct"
sable antelope,2,426,426,family_mismatch_high_confidence,P1 HIGH,classifier confident it sees a different family — check every image for label errors
eurasian otter,2,434,434,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
giant otter,2,442,442,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
blackbuck,2,448,448,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
puma,2,452,452,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
ring-tailed lemur,2,452,452,match_level_class,P3 LOW,"classifier uncertain but not contradicting — verify each image, expect most to be correct"
thomson's gazelle,2,452,452,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
eurasian badger,2,460,460,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
common duiker,2,472,472,match_level_order,P3 LOW,"classifier uncertain but not contradicting — verify each image, expect most to be correct"
japanese macaque,2,481,481,low_speciesnet_confidence,P3 LOW,"classifier uncertain but not contradicting — verify each image, expect most to be correct"
mountain zebra,2,483,483,match_level_no_match,P2 MED,classifier finds no 225-class match — verify species identity for each image
