common_name,scientific_name,wikipedia_characteristics,condensed_description,very_short_description
clouded leopard,neofelis nebulosa,"A carnivorous feline (Clouded Leopard) with a flexible body, sharp retractable claws, and a coat typically marked by spots, stripes, or a uniform color.","A flexible, predatory feline (Clouded Leopard) with sharp claws and distinct coat patterns.","Flexible feline body, sharp claws, patterned coat."
collared peccary,pecari tajacu,"The Collared Peccary is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Collared Peccary) with physical traits typical of its group.,Distinctive natural animal form.
colobus species,colobus,"The Colobus is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Colobus) with physical traits typical of its group.,Distinctive natural animal form.
common duiker,sylvicapra grimmia,"The Common Duiker is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Common Duiker) with physical traits typical of its group.,Distinctive natural animal form.
common eland,tragelaphus oryx,"The Common Eland is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Common Eland) with physical traits typical of its group.,Distinctive natural animal form.
common fallow deer,dama dama,"A graceful, slender-legged ungulate known as Common Fallow Deer, typically featuring a brownish coat and, in males, branching antlers shed annually.","A slender-legged Common Fallow Deer with a brownish coat, where males typically grow branching antlers.","Slender legs, brownish coat, branching antlers."
common warthog,phacochoerus africanus,"The Common Warthog is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Common Warthog) with physical traits typical of its group.,Distinctive natural animal form.
common wildebeest,connochaetes taurinus,"The Common Wildebeest is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Common Wildebeest) with physical traits typical of its group.,Distinctive natural animal form.
common wombat,vombatus ursinus,"The Common Wombat is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Common Wombat) with physical traits typical of its group.,Distinctive natural animal form.
cottontail rabbits genus,sylvilagus,"The Cottontail Rabbits is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Cottontail Rabbits) with physical traits typical of its group.,Distinctive natural animal form.
coyote,canis latrans,"A medium-sized wild canine (Coyote) with an elongated muzzle, erect triangular ears, and a bushy tail.","A wild canine (Coyote) with an elongated muzzle, erect ears, and a bushy tail.","Wild canine, elongated muzzle, bushy tail."
cricetidae family,cricetidae,"The Cricetidae is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Cricetidae) with physical traits typical of its group.,Distinctive natural animal form.
dhole,cuon alpinus,"The Dhole is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Dhole) with physical traits typical of its group.,Distinctive natural animal form.
dingo,canis lupus dingo,"The Dingo is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Dingo) with physical traits typical of its group.,Distinctive natural animal form.
domestic cat,felis catus,"A carnivorous feline (Domestic Cat) with a flexible body, sharp retractable claws, and a coat typically marked by spots, stripes, or a uniform color.","A flexible, predatory feline (Domestic Cat) with sharp claws and distinct coat patterns.","Flexible feline body, sharp claws, patterned coat."
domestic cattle,bos taurus,"A carnivorous feline (Domestic Cattle) with a flexible body, sharp retractable claws, and a coat typically marked by spots, stripes, or a uniform color.","A flexible, predatory feline (Domestic Cattle) with sharp claws and distinct coat patterns.","Flexible feline body, sharp claws, patterned coat."
domestic dog,canis familiaris,"A medium-sized wild canine (Domestic Dog) with an elongated muzzle, erect triangular ears, and a bushy tail.","A wild canine (Domestic Dog) with an elongated muzzle, erect ears, and a bushy tail.","Wild canine, elongated muzzle, bushy tail."
domestic donkey,equus asinus,"The Domestic Donkey is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Domestic Donkey) with physical traits typical of its group.,Distinctive natural animal form.
domestic goat,capra aegagrus hircus,"The Domestic Goat is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Domestic Goat) with physical traits typical of its group.,Distinctive natural animal form.
domestic horse,equus caballus,"A large, fast-moving herbivore (Domestic Horse) characterized by long, slender legs, hooves, and often distinct horns or striking coat patterns.","A large, hooved herbivore (Domestic Horse) with slender legs and a patterned coat or horns.","Large hooved herbivore, slender legs."
domestic pig,sus scrofa scrofa,"The Domestic Pig is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Domestic Pig) with physical traits typical of its group.,Distinctive natural animal form.
domestic sheep,ovis aries,"The Domestic Sheep is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Domestic Sheep) with physical traits typical of its group.,Distinctive natural animal form.
domestic water buffalo,bubalus bubalis,"A large, fast-moving herbivore (Domestic Water Buffalo) characterized by long, slender legs, hooves, and often distinct horns or striking coat patterns.","A large, hooved herbivore (Domestic Water Buffalo) with slender legs and a patterned coat or horns.","Large hooved herbivore, slender legs."
drill,mandrillus leucophaeus,"The Drill is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Drill) with physical traits typical of its group.,Distinctive natural animal form.
dromedary camel,camelus dromedarius,"The Dromedary Camel is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Dromedary Camel) with physical traits typical of its group.,Distinctive natural animal form.
eared seals,otariidae,"The Eared Seals is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Eared Seals) with physical traits typical of its group.,Distinctive natural animal form.
eastern cottontail,sylvilagus floridanus,"The Eastern Cottontail is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Eastern Cottontail) with physical traits typical of its group.,Distinctive natural animal form.
eastern fox squirrel,sciurus niger,"A medium-sized wild canine (Eastern Fox Squirrel) with an elongated muzzle, erect triangular ears, and a bushy tail.","A wild canine (Eastern Fox Squirrel) with an elongated muzzle, erect ears, and a bushy tail.","Wild canine, elongated muzzle, bushy tail."
eastern gray squirrel,sciurus carolinensis,"A small to medium-sized rodent (Eastern Gray Squirrel) with a stout or slender body, continuously growing incisors, and often a distinctly bushy or hairless tail.",A small rodent (Eastern Gray Squirrel) with prominent incisors and a long tail.,"Small rodent, prominent incisors, long tail."
eastern grey kangaroo,macropus giganteus,"The Eastern Grey Kangaroo is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Eastern Grey Kangaroo) with physical traits typical of its group.,Distinctive natural animal form.
elephant seal,mirounga,"The Elephant Seal is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Elephant Seal) with physical traits typical of its group.,Distinctive natural animal form.
elk,cervus canadensis,"A graceful, slender-legged ungulate known as Elk, typically featuring a brownish coat and, in males, branching antlers shed annually.","A slender-legged Elk with a brownish coat, where males typically grow branching antlers.","Slender legs, brownish coat, branching antlers."
eulemur species,eulemur,"A highly agile primate (Eulemur) with forward-facing eyes, dexterous hands, and a relatively long tail used for balance or grasping.",A dexterous primate (Eulemur) with forward-facing eyes and a long tail.,"Agile primate, dexterous hands, long tail."
eurasian badger,meles meles,"The Eurasian Badger is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Eurasian Badger) with physical traits typical of its group.,Distinctive natural animal form.
eurasian lynx,lynx lynx,"A carnivorous feline (Eurasian Lynx) with a flexible body, sharp retractable claws, and a coat typically marked by spots, stripes, or a uniform color.","A flexible, predatory feline (Eurasian Lynx) with sharp claws and distinct coat patterns.","Flexible feline body, sharp claws, patterned coat."
eurasian otter,lutra lutra,"The Eurasian Otter is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Eurasian Otter) with physical traits typical of its group.,Distinctive natural animal form.
eurasian red squirrel,sciurus vulgaris,"A small to medium-sized rodent (Eurasian Red Squirrel) with a stout or slender body, continuously growing incisors, and often a distinctly bushy or hairless tail.",A small rodent (Eurasian Red Squirrel) with prominent incisors and a long tail.,"Small rodent, prominent incisors, long tail."
european bison,bison bonasus,"The European Bison is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (European Bison) with physical traits typical of its group.,Distinctive natural animal form.
european hare,lepus europaeus,"The European Hare is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (European Hare) with physical traits typical of its group.,Distinctive natural animal form.
european rabbit,oryctolagus cuniculus,"The European Rabbit is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (European Rabbit) with physical traits typical of its group.,Distinctive natural animal form.
european roe deer,capreolus capreolus,"A graceful, slender-legged ungulate known as European Roe Deer, typically featuring a brownish coat and, in males, branching antlers shed annually.","A slender-legged European Roe Deer with a brownish coat, where males typically grow branching antlers.","Slender legs, brownish coat, branching antlers."
fisher,pekania pennanti,"The Fisher is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Fisher) with physical traits typical of its group.,Distinctive natural animal form.
fossa,cryptoprocta ferox,"The Fossa is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Fossa) with physical traits typical of its group.,Distinctive natural animal form.
gemsbok,oryx gazella,"The Gemsbok is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Gemsbok) with physical traits typical of its group.,Distinctive natural animal form.
genet genus,genetta,"The Genet is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Genet) with physical traits typical of its group.,Distinctive natural animal form.
gerenuk,litocranius walleri,"The Gerenuk is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Gerenuk) with physical traits typical of its group.,Distinctive natural animal form.
giant anteater,myrmecophaga tridactyla,"The Giant Anteater is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Giant Anteater) with physical traits typical of its group.,Distinctive natural animal form.
giant armadillo,priodontes maximus,"The Giant Armadillo is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Giant Armadillo) with physical traits typical of its group.,Distinctive natural animal form.
giant otter,pteronura brasiliensis,"The Giant Otter is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Giant Otter) with physical traits typical of its group.,Distinctive natural animal form.
giant panda,ailuropoda melanoleuca,"The Giant Panda is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Giant Panda) with physical traits typical of its group.,Distinctive natural animal form.
giraffe,giraffa camelopardalis,"The Giraffe is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Giraffe) with physical traits typical of its group.,Distinctive natural animal form.
glaucomys species,glaucomys,"The Glaucomys is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Glaucomys) with physical traits typical of its group.,Distinctive natural animal form.
golden jackal,canis aureus,"The Golden Jackal is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Golden Jackal) with physical traits typical of its group.,Distinctive natural animal form.
golden mantled ground squirrel,callospermophilus lateralis,"A small to medium-sized rodent (Golden Mantled Ground Squirrel) with a stout or slender body, continuously growing incisors, and often a distinctly bushy or hairless tail.",A small rodent (Golden Mantled Ground Squirrel) with prominent incisors and a long tail.,"Small rodent, prominent incisors, long tail."
gorilla species,gorilla,"The Gorilla is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Gorilla) with physical traits typical of its group.,Distinctive natural animal form.
grant's gazelle,nanger granti,"A large, fast-moving herbivore (Grant'S Gazelle) characterized by long, slender legs, hooves, and often distinct horns or striking coat patterns.","A large, hooved herbivore (Grant'S Gazelle) with slender legs and a patterned coat or horns.","Large hooved herbivore, slender legs."
greater kudu,tragelaphus strepsiceros,"The Greater Kudu is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Greater Kudu) with physical traits typical of its group.,Distinctive natural animal form.
grevy's zebra,equus grevyi,"A large, fast-moving herbivore (Grevy'S Zebra) characterized by long, slender legs, hooves, and often distinct horns or striking coat patterns.","A large, hooved herbivore (Grevy'S Zebra) with slender legs and a patterned coat or horns.","Large hooved herbivore, slender legs."
grey fox,urocyon cinereoargenteus,"A medium-sized wild canine (Grey Fox) with an elongated muzzle, erect triangular ears, and a bushy tail.","A wild canine (Grey Fox) with an elongated muzzle, erect ears, and a bushy tail.","Wild canine, elongated muzzle, bushy tail."
grey wolf,canis lupus,"A medium-sized wild canine (Grey Wolf) with an elongated muzzle, erect triangular ears, and a bushy tail.","A wild canine (Grey Wolf) with an elongated muzzle, erect ears, and a bushy tail.","Wild canine, elongated muzzle, bushy tail."
hares and jackrabbits genus,lepus,"The Hares And Jackrabbits is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Hares And Jackrabbits) with physical traits typical of its group.,Distinctive natural animal form.
hartebeest,alcelaphus buselaphus,"The Hartebeest is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Hartebeest) with physical traits typical of its group.,Distinctive natural animal form.
hedgehog family,erinaceidae,"The Hedgehog is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Hedgehog) with physical traits typical of its group.,Distinctive natural animal form.
hippopotamus,hippopotamus amphibius,"The Hippopotamus is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Hippopotamus) with physical traits typical of its group.,Distinctive natural animal form.
hoffmann's two-toed sloth,choloepus hoffmanni,"The Hoffmann'S Two-Toed Sloth is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Hoffmann'S Two-Toed Sloth) with physical traits typical of its group.,Distinctive natural animal form.
